,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
495,Saint Mary's (CA),18,49,Xavier,28,66,1.21,13.8,22.6,5.2,0.45,5.6,40.32,38.408,15.6,18.6,64.52,12.0,11.0,28.4,16.4,44.8,58.4,67.8,9.0,5.6,22.4,25.89,28.6,5.8,-0.2,11.4,11.2,1.33,16.8,19.8,3.2,0.502,11.2,45.54,35.849,17.6,19.0,63.16,12.0,0.0,29.4,10.4,39.8,65.0,72.8,7.0,6.8,18.8,29.79,25.3,5.6,0.0,12.6,12.6
496,Brown,32,70,Southern California,35,81,1.13,13.8,19.6,5.6,0.469,11.2,40.5,42.014,18.4,23.0,60.87,14.0,5.0,29.0,14.6,43.6,72.6,74.2,1.0,8.6,26.8,30.6,38.2,8.2,2.2,12.2,14.4,0.93,13.5,17.25,4.2,0.507,14.25,44.35,37.849,15.0,24.8,75.76,18.8,2.0,28.25,12.0,40.25,67.0,77.0,10.0,6.0,21.5,33.72,27.1,7.2,-1.8,14.5,12.75
497,Kent St.,27,52,Missouri St.,33,56,1.04,13.5,24.17,2.8,0.504,14.0,44.0,41.691,20.0,26.3,75.32,19.8,2.0,25.0,12.67,37.67,71.7,82.8,11.0,8.2,24.0,33.33,38.1,8.0,4.7,13.0,17.67,1.07,14.4,19.4,4.4,0.529,6.8,45.0,37.975,16.6,18.2,65.93,12.0,5.0,30.8,9.0,39.8,63.6,71.2,7.0,4.8,23.6,37.29,25.2,8.8,-3.6,13.4,9.8
498,Saint Louis,30,69,Wichita St.,44,88,1.2,12.2,22.83,3.2,0.509,17.67,43.71,41.623,17.3,27.2,71.78,19.5,-6.0,28.17,7.0,35.17,72.5,78.8,6.0,8.3,21.2,39.37,30.2,8.3,4.2,10.2,14.33,0.9,11.0,20.83,5.0,0.518,6.83,46.89,36.298,14.2,19.2,71.3,13.7,10.0,34.67,11.67,46.33,69.0,80.3,11.0,4.8,19.7,32.2,27.6,6.3,-2.7,12.2,9.5
499,South Dakota St.,30,80,UCF,32,83,0.9,11.4,11.6,3.2,0.531,6.8,46.25,44.051,14.4,16.6,61.45,10.2,1.0,26.6,10.8,37.4,76.6,75.4,-1.0,6.6,22.0,38.18,35.2,8.4,-1.4,12.6,11.2,0.88,11.4,29.6,6.2,0.497,8.8,44.51,39.777,19.4,20.0,69.0,13.8,4.0,27.0,12.0,39.0,69.0,77.2,8.0,10.0,21.8,30.28,33.0,6.6,3.6,13.0,16.6
500,Dayton,28,55,Houston,36,69,1.22,14.4,18.8,2.4,0.53,4.0,45.12,44.765,14.2,20.6,78.64,16.2,-2.0,21.6,8.2,29.8,67.0,68.4,1.0,5.8,23.0,33.91,40.0,7.8,-0.6,11.8,11.2,1.62,14.3,27.17,4.3,0.51,10.67,44.29,35.664,17.2,20.7,64.52,13.3,9.0,26.17,15.17,41.33,49.8,75.8,26.0,11.3,23.0,35.51,29.4,8.2,8.0,8.8,16.83
501,San Diego St.,43,100,Washington,40,97,1.4,17.4,10.2,4.4,0.528,10.6,46.53,42.623,18.2,27.0,70.37,19.0,2.0,26.0,12.0,38.0,71.6,83.0,11.0,9.8,21.8,34.86,30.4,7.6,2.2,12.4,14.6,1.31,16.8,17.0,5.8,0.537,16.4,48.87,40.439,21.0,23.0,70.43,16.2,-2.0,27.6,9.4,37.0,75.6,82.6,7.0,7.4,20.0,30.0,28.3,6.0,0.0,12.8,12.8
502,Iona,32,68,High Point,41,82,1.09,12.5,23.25,3.5,0.496,6.75,42.8,46.46,20.2,17.8,64.79,11.5,-2.0,23.5,12.25,35.75,78.5,75.2,-3.0,8.5,25.8,33.98,35.9,8.8,2.0,11.5,13.5,0.98,12.6,29.2,4.2,0.565,12.2,47.44,39.088,18.8,26.0,76.92,20.0,16.0,31.8,13.6,45.4,72.8,86.2,13.0,4.4,26.8,39.55,33.9,10.6,-4.6,12.8,8.2
503,Oakland,44,74,LMU (CA),35,69,0.97,11.0,13.5,1.3,0.507,8.17,43.8,42.978,18.2,15.8,71.58,11.3,-1.0,25.5,9.5,35.0,71.7,72.7,1.0,7.2,23.8,34.97,28.0,8.3,0.2,11.3,11.5,1.0,12.5,29.17,2.5,0.558,8.67,47.69,43.266,19.7,22.0,73.48,16.2,4.0,26.0,9.67,35.67,72.8,80.5,7.0,5.5,25.5,36.6,35.3,9.3,-0.7,12.5,11.83
504,Siena,19,56,Central Mich.,30,70,0.64,11.4,10.2,5.6,0.49,2.2,43.85,49.648,15.0,14.2,54.93,7.8,4.0,22.0,12.2,34.2,74.0,58.8,-15.0,3.6,18.4,29.35,41.7,5.4,-7.8,17.8,10.0,0.7,10.7,16.83,3.2,0.489,9.5,43.24,48.048,17.2,15.5,67.74,10.5,-2.0,20.5,10.5,31.0,74.5,64.8,-9.0,7.0,20.8,30.4,35.1,6.3,-1.2,15.2,14.0
505,Southern Miss.,25,67,Cal St. Fullerton,34,74,0.94,11.6,13.6,3.6,0.442,6.4,40.0,38.06,18.6,21.2,61.32,13.0,4.0,27.4,12.2,39.6,60.0,65.2,5.0,9.4,17.2,29.07,26.3,5.0,4.0,12.4,16.4,0.64,10.4,19.4,2.6,0.469,9.8,41.7,43.003,18.4,23.4,68.38,16.0,2.0,27.4,8.8,36.2,71.6,64.6,-7.0,6.0,20.8,25.96,32.0,5.4,-4.6,16.2,11.6
506,Norfolk St.,38,69,FGCU,28,66,0.97,12.3,29.17,3.3,0.471,19.17,41.46,41.801,19.7,27.7,70.48,19.5,3.0,24.67,13.5,38.17,66.5,75.5,9.0,11.7,22.2,30.08,36.2,6.7,6.3,12.7,19.0,1.0,11.2,24.33,2.5,0.496,9.17,43.22,45.21,17.7,18.5,70.27,13.0,2.0,23.33,12.17,35.5,76.2,71.5,-4.0,5.0,25.3,29.61,38.3,7.5,-1.5,11.2,9.67
507,Long Beach St.,24,52,Illinois St.,32,61,0.76,12.0,20.83,4.3,0.5,11.33,44.89,43.575,21.3,20.2,66.12,13.3,0.0,25.33,11.5,36.83,77.0,75.3,-1.0,9.3,19.2,33.04,29.6,6.3,0.5,15.8,16.33,0.89,10.8,25.4,2.0,0.476,5.6,40.83,40.502,17.2,23.0,63.48,14.6,0.0,25.6,11.8,37.4,64.6,69.6,5.0,6.4,24.4,31.97,31.3,7.8,2.2,12.2,14.4
508,UNCW,35,83,Murray St.,37,81,1.25,13.0,37.2,3.0,0.572,18.2,49.06,48.355,16.0,21.2,74.53,15.8,0.0,26.4,9.0,35.4,75.8,88.6,12.0,7.0,23.4,44.44,34.3,10.4,3.8,10.4,14.2,1.51,15.5,15.25,3.0,0.534,12.75,46.83,47.581,15.0,22.8,68.13,15.5,8.0,27.5,12.5,40.0,74.8,82.8,8.0,4.8,22.0,37.5,36.1,8.2,1.2,10.2,11.5
509,Utah Valley,24,61,Cornell,28,74,1.0,14.6,19.0,4.0,0.474,12.2,43.1,41.356,18.0,19.2,60.42,11.6,1.0,27.8,10.0,37.8,69.4,66.6,-2.0,6.2,21.6,23.15,29.7,5.0,-2.2,14.6,12.4,1.19,18.0,41.83,2.3,0.594,14.0,50.97,45.405,18.2,20.8,68.0,14.2,5.0,27.5,10.0,37.5,76.3,85.7,9.0,8.3,27.3,37.2,29.6,10.2,-0.7,15.2,14.5
510,Tennessee,30,73,Syracuse,25,56,1.31,14.2,25.8,5.0,0.5,9.0,43.05,35.54,19.4,22.6,76.99,17.4,4.0,28.2,10.4,38.6,60.0,76.4,16.0,7.2,23.6,34.75,25.9,8.2,3.2,10.8,14.0,1.02,11.4,15.2,5.0,0.461,14.0,41.49,43.987,15.2,18.6,70.97,13.2,-8.0,25.2,10.2,35.4,74.6,72.8,-1.0,9.6,23.2,25.86,35.1,6.0,5.0,11.2,16.2
511,Kennesaw St.,43,79,Northeastern,42,77,1.32,17.0,26.5,4.7,0.487,23.0,42.24,37.75,19.8,21.8,70.99,15.5,5.0,31.17,16.0,47.17,74.8,86.7,11.0,9.2,32.3,29.38,25.7,9.5,3.0,12.8,15.83,1.0,13.8,21.67,3.7,0.543,8.0,47.85,46.685,13.7,21.8,71.76,15.7,3.0,23.5,11.0,34.5,75.0,74.7,0.0,6.5,19.7,35.59,35.8,7.0,-2.7,13.8,11.17
512,San Jose St.,29,71,Hampton,33,52,1.12,14.5,14.67,4.5,0.559,10.0,47.84,39.823,16.3,15.3,67.39,10.3,2.0,25.5,9.5,35.0,62.3,75.0,12.0,5.8,26.7,35.0,26.0,9.3,0.3,13.0,13.33,0.88,13.8,24.5,1.3,0.534,14.5,46.42,42.936,19.7,20.7,72.58,15.0,0.0,24.5,10.33,34.83,78.2,77.2,-1.0,7.3,24.7,33.11,30.6,8.2,-2.7,15.7,13.0
513,The Citadel,13,62,Idaho St.,23,61,0.91,10.5,14.83,2.5,0.47,9.0,40.77,45.322,13.8,19.2,73.04,14.0,3.0,26.0,10.33,36.33,66.5,66.7,0.0,5.7,23.2,30.22,31.9,7.0,-0.8,11.5,10.67,1.09,14.3,21.67,4.3,0.541,8.67,48.34,39.752,15.3,14.2,67.06,9.5,5.0,25.33,9.67,35.0,57.3,69.2,11.0,9.0,19.0,33.33,27.5,6.3,0.8,13.2,14.0
514,Indiana,34,74,Louisville,29,66,1.18,14.2,15.0,5.2,0.524,9.4,49.39,39.934,16.2,29.2,69.86,20.4,-3.0,25.8,6.2,32.0,70.0,72.2,2.0,5.8,12.8,23.44,35.3,3.0,0.4,12.0,12.4,0.73,9.6,23.2,3.0,0.458,4.4,41.53,43.322,19.2,26.6,72.18,19.2,4.0,26.8,14.4,41.2,74.0,74.4,0.0,5.6,17.6,29.55,31.0,5.2,-1.6,13.2,11.6
