Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
San Francisco,1.26,18.0,28.67,4.0,0.572,12.0,50.27,38.535,17.8,14.7,73.86,10.8,10.0,25.67,11.83,37.5,60.7,81.3,20.0,9.5,23.7,35.92,29.3,8.5,2.2,14.3,16.5
Butler,1.3,13.8,24.17,3.8,0.54,12.0,46.98,39.314,14.8,21.5,78.29,16.8,0.0,28.0,9.33,37.33,66.8,82.3,15.0,6.3,25.0,34.0,28.9,8.5,3.0,10.7,13.67
Hofstra,1.51,17.7,18.0,4.0,0.583,7.5,49.48,39.344,18.0,13.3,80.0,10.7,0.0,27.83,9.0,36.83,71.5,85.3,13.0,6.7,29.5,38.42,32.6,11.3,1.7,11.7,13.33
James Madison,1.38,15.7,24.83,4.0,0.553,10.67,48.12,43.272,21.8,26.3,70.25,18.5,-1.0,26.33,11.17,37.5,80.5,92.0,11.0,9.0,24.0,39.58,30.9,9.5,4.8,11.3,16.17
TCU,1.56,22.4,36.0,6.0,0.581,29.4,52.8,41.438,18.2,21.4,77.57,16.6,12.0,29.0,12.8,41.8,63.2,91.4,28.0,11.6,19.8,34.34,32.5,6.8,4.0,14.4,18.4
Harvard,1.41,16.5,12.17,6.7,0.546,14.0,47.54,36.658,14.7,15.2,71.43,10.8,1.0,30.33,10.33,40.67,66.7,77.5,10.0,5.5,22.3,38.81,29.4,8.7,-0.8,11.7,10.83
Syracuse,1.21,13.3,20.0,5.0,0.496,14.33,44.39,41.451,14.2,16.7,71.0,11.8,-2.0,27.67,11.0,38.67,71.5,78.2,6.0,9.2,24.3,28.77,32.4,7.0,4.7,11.0,15.67
Auburn,1.54,20.0,37.8,6.2,0.539,12.6,46.64,38.0,20.6,24.8,73.39,18.2,7.0,27.8,12.4,40.2,66.4,82.4,16.0,6.0,23.8,36.13,22.4,8.6,0.4,13.0,13.4
Northwestern,1.41,13.0,9.0,4.8,0.483,7.6,43.01,44.033,16.6,15.0,78.67,11.8,-2.0,19.4,10.8,30.2,62.6,67.0,4.0,9.4,20.6,29.13,38.1,6.0,6.8,9.2,16.0
Drake,1.57,16.0,12.83,1.0,0.569,9.0,49.71,48.529,14.7,19.8,77.31,15.3,1.0,23.5,8.83,32.33,72.7,80.2,7.0,6.3,23.2,35.25,34.8,8.2,4.2,10.2,14.33
Marshall,1.15,15.2,14.33,5.5,0.457,8.83,40.71,45.885,16.3,19.7,72.03,14.2,-1.0,26.5,13.67,40.17,81.2,74.0,-7.0,7.0,24.7,26.35,34.2,6.5,0.3,13.2,13.5
UT Arlington,1.22,17.3,25.83,3.3,0.499,9.5,42.7,42.969,19.3,20.2,70.25,14.2,9.0,29.67,13.33,43.0,76.7,75.7,-1.0,4.3,28.3,31.18,36.3,8.8,-5.5,14.2,8.67
Akron,1.12,15.2,27.17,2.0,0.552,10.33,46.53,44.186,16.5,19.0,72.81,13.8,5.0,26.17,10.17,36.33,66.7,77.5,10.0,7.0,28.3,35.29,33.3,10.0,0.3,13.5,13.83
UNC Greensboro,1.48,13.6,18.8,1.6,0.556,9.6,46.71,40.845,20.0,18.4,73.91,13.6,0.0,24.8,10.0,34.8,73.0,81.2,8.0,7.0,27.2,39.71,32.6,10.8,2.4,9.2,11.6
LMU (CA),0.97,12.1,26.43,2.7,0.542,8.43,46.38,41.542,19.4,22.4,73.25,16.4,4.0,27.0,9.43,36.43,69.1,78.6,9.0,5.3,25.6,35.2,31.9,9.0,-0.4,12.6,12.14
FDU,1.47,18.0,29.0,2.0,0.559,17.86,47.23,43.237,18.7,23.7,71.69,17.0,-2.0,27.86,9.86,37.71,79.7,89.0,9.0,9.3,29.9,37.32,34.1,11.1,2.7,12.3,15.0
William & Mary,1.3,14.1,23.0,1.1,0.53,7.71,45.02,42.25,18.0,21.6,73.51,15.9,4.0,27.71,10.0,37.71,71.6,79.7,8.0,5.1,28.6,33.5,34.4,9.6,1.1,10.9,12.0
Delaware,1.4,15.2,22.67,3.2,0.556,6.83,48.56,39.394,15.3,20.3,64.75,13.2,5.0,29.17,9.33,38.5,66.0,77.7,11.0,6.0,20.5,39.84,30.1,8.2,0.2,10.8,11.0
Maine,1.16,13.4,24.0,2.9,0.525,11.0,47.58,43.537,16.4,16.0,72.66,11.6,-1.0,24.88,7.25,32.12,66.4,71.2,4.0,9.2,19.0,29.61,31.3,5.6,2.8,11.5,14.25
Oklahoma St.,1.49,17.2,29.0,3.5,0.539,11.33,46.13,40.87,17.7,19.2,60.87,11.7,4.0,27.33,10.83,38.17,66.5,76.7,10.0,6.5,27.7,33.73,31.3,9.3,1.7,11.5,13.17
Yale,1.34,13.7,17.67,2.8,0.526,6.83,47.24,40.214,14.2,18.0,73.15,13.2,1.0,28.33,7.83,36.17,69.0,76.7,7.0,5.5,18.2,35.78,30.7,6.5,1.0,10.2,11.17
Columbia,1.31,17.4,31.29,2.3,0.528,17.29,46.51,39.524,15.7,20.9,80.14,16.7,3.0,27.43,9.43,36.86,64.0,79.3,15.0,10.4,21.3,34.9,25.9,7.4,3.6,13.3,16.86
UNC Asheville,1.65,19.0,30.0,4.3,0.544,12.0,47.3,42.513,20.0,26.8,67.08,18.0,0.0,25.0,11.83,36.83,77.2,88.5,11.0,6.2,28.0,32.74,33.8,9.2,4.5,11.5,16.0
SMU,1.33,15.3,26.33,5.2,0.483,15.0,42.71,37.778,18.8,18.3,69.09,12.7,3.0,27.17,14.17,41.33,64.8,74.5,9.0,9.3,21.3,33.59,26.2,7.2,2.3,11.5,13.83
Xavier,1.46,18.5,22.5,3.0,0.524,14.67,47.44,36.951,17.0,19.3,64.66,12.5,1.0,30.17,10.0,40.17,66.7,77.3,10.0,7.7,19.5,31.62,27.3,6.2,0.8,12.7,13.5
FGCU,0.91,10.4,23.43,2.6,0.484,9.0,42.22,45.478,17.4,18.9,69.7,13.1,2.0,23.14,12.14,35.29,75.4,69.1,-6.0,5.1,24.0,29.76,38.3,7.1,-1.7,11.4,9.71
UCLA,1.14,13.3,19.5,4.2,0.503,9.67,46.79,36.013,18.5,23.2,73.38,17.0,9.0,26.67,10.67,37.33,56.7,71.8,15.0,7.3,13.0,29.49,27.8,3.8,1.7,11.7,13.33
Kennesaw St.,1.32,17.0,26.5,4.7,0.487,23.0,42.24,37.75,19.8,21.8,70.99,15.5,5.0,31.17,16.0,47.17,74.8,86.7,11.0,9.2,32.3,29.38,25.7,9.5,3.0,12.8,15.83
Memphis,1.03,13.5,25.5,5.7,0.534,11.0,45.81,39.164,17.3,21.8,70.23,15.3,-3.0,26.5,10.0,36.5,72.0,79.0,7.0,8.8,24.3,36.99,33.1,9.0,1.7,13.2,14.83
Northern Colo.,0.93,11.8,17.0,2.2,0.497,13.5,42.66,42.898,17.2,21.7,69.23,15.0,1.0,27.0,10.67,37.67,72.2,74.8,2.0,6.3,27.5,30.91,34.7,8.5,0.7,12.7,13.33
Wofford,1.07,14.7,29.5,3.8,0.514,6.67,43.75,45.198,22.3,23.0,66.67,15.3,2.0,26.33,11.17,37.5,84.5,78.3,-6.0,3.8,28.2,33.14,35.3,9.3,-4.2,13.7,9.5
Ohio,1.2,13.0,16.6,4.0,0.54,11.0,47.12,40.789,19.4,20.6,71.84,14.8,-1.0,26.0,9.6,35.6,74.2,82.2,8.0,6.4,26.2,32.82,29.7,8.6,4.4,10.8,15.2
Louisiana,1.41,16.0,19.0,4.7,0.561,11.67,47.55,47.813,17.5,15.0,75.56,11.3,0.0,21.67,12.83,34.5,73.0,83.7,10.0,7.7,28.0,39.29,22.6,11.0,3.2,11.3,14.5
South Fla.,1.25,13.8,34.25,2.2,0.456,15.25,41.91,42.009,18.5,23.2,77.42,18.0,0.0,26.0,10.5,36.5,63.8,73.0,9.0,8.0,20.5,21.95,25.3,4.5,4.8,11.0,15.75
UNI,1.17,13.5,20.5,1.8,0.527,4.83,46.05,40.23,18.5,18.2,65.14,11.8,3.0,28.17,9.33,37.5,70.2,74.0,3.0,5.8,23.2,33.81,33.1,7.8,0.2,11.5,11.67
Saint Mary's (CA),1.31,15.3,21.83,5.3,0.483,5.5,42.4,38.095,16.2,16.8,65.35,11.0,14.0,28.0,16.83,44.83,57.8,71.3,13.0,5.7,23.8,30.77,27.7,7.3,-0.2,11.7,11.5
Sacred Heart,1.07,12.7,30.33,5.2,0.519,11.33,45.55,43.28,18.5,20.3,71.31,14.5,2.0,27.17,13.17,40.33,71.2,82.5,11.0,10.2,20.7,40.32,32.4,8.3,3.2,11.8,15.0
Alabama,1.21,14.7,31.5,4.3,0.627,17.83,54.08,43.855,19.0,29.7,79.78,23.7,11.0,27.5,12.0,39.5,74.8,97.8,23.0,7.8,23.7,42.96,32.3,10.2,0.5,12.2,12.67
Charleston So.,0.93,13.7,20.17,2.5,0.562,10.0,48.79,42.898,18.8,18.0,71.3,12.8,1.0,24.67,9.33,34.0,73.0,74.7,1.0,4.0,21.7,37.69,28.7,8.2,-4.5,14.7,10.17
Murray St.,1.31,13.6,13.4,2.8,0.51,11.8,45.16,45.955,15.4,21.4,67.29,14.4,4.0,27.6,11.4,39.0,73.2,77.6,4.0,4.8,21.2,33.96,33.7,7.2,0.8,10.4,11.2
North Carolina,1.31,13.5,24.33,4.8,0.526,10.83,46.51,39.782,17.3,26.8,75.16,20.2,7.0,28.0,12.5,40.5,69.0,85.3,16.0,5.3,20.3,36.89,30.7,7.5,2.7,10.3,13.0
USC Upstate,1.25,13.7,25.14,2.7,0.508,14.43,44.31,42.448,18.3,15.7,63.64,10.0,-5.0,24.57,8.57,33.14,67.3,71.3,4.0,9.6,21.7,36.18,29.7,7.9,4.4,11.0,15.43
Wyoming,0.9,14.6,16.0,5.2,0.565,9.4,49.09,38.585,15.4,23.8,73.11,17.4,4.0,26.6,10.8,37.4,66.4,79.6,13.0,6.0,20.4,40.2,28.0,8.2,-1.2,16.2,15.0
Davidson,1.06,11.5,20.67,2.3,0.485,5.33,41.82,41.092,14.8,20.0,72.5,14.5,-1.0,24.33,10.5,34.83,66.0,67.8,1.0,7.7,23.2,31.65,34.6,7.3,1.3,10.8,12.17
Miami (FL),1.29,16.0,10.8,5.2,0.615,17.2,52.36,41.298,15.0,19.6,82.65,16.2,0.0,28.2,7.8,36.0,72.6,89.0,16.0,8.6,23.6,45.76,26.8,10.8,2.0,12.4,14.4
New Mexico,1.51,15.8,19.0,3.8,0.51,14.83,47.1,40.608,17.5,23.3,70.71,16.5,6.0,29.33,12.5,41.83,69.7,84.0,14.0,7.5,16.5,31.31,32.1,5.2,4.2,10.5,14.67
Hawaii,0.94,12.8,22.2,3.0,0.559,6.8,48.58,40.55,17.2,22.6,72.57,16.4,5.0,29.2,8.8,38.0,64.6,79.4,14.0,6.0,21.6,37.96,27.6,8.2,-0.2,13.6,13.4
Arizona,1.54,21.0,32.17,5.0,0.575,21.0,51.38,38.108,16.5,24.7,76.35,18.8,19.0,32.17,15.33,47.5,63.8,95.3,31.0,9.7,20.8,39.2,31.5,8.2,2.2,13.7,15.83
Air Force,1.21,14.7,9.43,5.3,0.542,4.14,45.98,38.56,17.1,20.0,67.86,13.6,-1.0,26.43,6.57,33.0,61.9,67.4,5.0,5.9,23.4,34.76,30.0,8.1,-1.1,12.1,11.0
Duke,1.93,17.7,22.5,3.8,0.573,10.33,50.68,40.395,15.5,19.7,72.88,14.3,5.0,28.33,9.67,38.0,64.2,84.0,19.0,6.3,22.7,35.29,31.2,8.0,3.7,9.2,12.83
Bethune-Cookman,1.01,13.8,22.33,2.8,0.496,24.17,43.66,42.462,20.3,18.8,69.03,13.0,3.0,24.17,14.67,38.83,69.5,80.8,11.0,15.5,25.8,31.61,35.5,8.2,8.3,13.7,22.0
Minnesota,1.34,18.8,27.0,6.0,0.537,14.4,46.15,37.654,16.0,24.6,78.05,19.2,10.0,31.6,12.0,43.6,65.2,80.6,15.0,6.0,25.6,33.59,32.7,8.6,-3.0,14.0,11.0
