Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Pacific,0.88,14.0,30.0,2.7,0.431,6.33,37.22,45.402,20.7,14.7,63.64,9.3,-10.0,22.67,7.33,,77.0,61.0,-16.0,7.0,25.0,28.0,25.4,7.0,-2.0,16.0,14.0
New Mexico St.,1.18,13.0,29.0,2.0,0.469,7.75,40.5,40.426,16.2,19.8,69.62,13.8,2.0,28.5,9.0,,67.2,70.5,3.0,5.0,21.0,36.9,30.4,7.8,1.8,11.0,12.75
Colgate,0.87,13.5,16.0,2.5,0.539,12.0,47.37,39.394,18.5,17.5,68.57,12.0,4.0,34.0,8.0,,74.5,73.5,-1.0,6.5,21.5,34.88,29.7,7.5,-5.0,15.5,10.5
Col. of Charleston,0.85,11.0,27.33,3.7,0.439,6.67,39.66,42.784,17.3,23.0,72.46,16.7,0.0,28.33,11.67,,77.3,69.0,-8.0,7.3,26.7,18.75,32.9,5.0,-2.3,13.0,10.67
Bowling Green,0.86,10.7,20.67,4.3,0.508,8.33,45.76,41.573,16.7,18.0,61.11,11.0,4.0,29.33,8.67,,65.7,71.0,5.0,5.3,22.0,27.27,32.1,6.0,0.3,12.3,12.67
Georgia St.,0.86,9.5,30.5,2.0,0.515,4.0,46.56,48.182,24.0,21.5,67.44,14.5,1.0,23.0,14.0,,79.5,82.0,2.0,7.0,19.0,34.21,39.5,6.5,3.5,11.0,14.5
South Dakota St.,0.85,11.7,8.33,4.0,0.518,9.0,46.11,41.969,13.0,14.0,61.9,8.7,2.0,27.67,11.67,,75.7,75.3,0.0,8.7,20.3,36.07,35.9,7.3,-0.3,13.7,13.33
Abilene Christian,0.85,11.3,25.0,1.7,0.44,8.33,39.66,43.713,20.7,22.3,73.13,16.3,-1.0,22.67,12.67,,74.0,67.3,-6.0,5.3,18.0,27.78,27.3,5.0,-1.3,13.3,12.0
Alcorn,0.84,9.2,28.75,1.8,0.454,16.25,42.32,48.035,20.5,27.0,67.59,18.2,-3.0,22.5,11.75,,83.8,73.0,-10.0,10.8,13.8,27.27,41.1,3.8,2.8,11.0,13.75
Southeastern La.,0.84,10.7,17.67,1.0,0.466,14.0,43.5,43.519,19.3,22.3,65.67,14.7,-9.0,26.33,8.67,,87.3,69.7,-17.0,4.7,14.0,26.19,30.5,3.7,-4.3,12.7,8.33
North Ala.,0.84,12.3,29.67,2.7,0.495,18.67,43.24,38.503,19.0,21.0,74.6,15.7,2.0,29.33,12.33,,69.3,76.7,7.0,8.3,20.0,38.33,26.6,7.7,0.0,14.7,14.67
Mercer,0.84,10.3,24.67,1.7,0.481,5.0,42.41,45.39,22.3,22.0,66.67,14.7,-7.0,19.67,8.67,,68.7,65.3,-3.0,9.3,21.0,28.57,30.5,6.0,5.7,12.3,18.0
Fordham,0.83,12.0,25.0,3.5,0.509,6.0,43.59,45.536,19.0,22.0,50.0,11.0,-6.0,20.0,13.5,,71.0,70.5,0.0,7.0,27.5,30.91,31.4,8.5,3.5,14.5,18.0
FIU,0.82,15.2,27.25,3.2,0.498,12.25,42.5,53.333,18.0,18.8,68.0,12.8,-6.0,17.75,12.75,,81.8,72.5,-9.0,12.5,28.5,30.7,38.5,8.8,2.5,18.5,21.0
Lafayette,0.82,12.3,21.0,4.3,0.416,5.0,35.0,45.763,18.3,15.3,65.22,10.0,-4.0,22.67,8.67,,75.0,54.3,-20.0,6.7,25.7,27.27,36.4,7.0,-5.3,15.0,9.67
Sam Houston,0.82,10.7,21.67,3.3,0.419,11.67,36.42,45.699,17.7,27.3,75.61,20.7,-3.0,27.0,8.67,,73.7,69.0,-4.0,7.0,22.0,28.79,31.6,6.3,4.3,13.0,17.33
Jackson St.,0.73,11.8,20.6,3.4,0.45,11.6,39.86,45.515,20.6,19.2,62.5,12.0,-7.0,24.2,9.8,,84.2,64.4,-19.0,6.4,20.0,30.0,36.4,6.0,-2.6,16.2,13.6
Brown,1.08,13.8,21.0,6.2,0.465,11.0,40.38,41.81,16.5,24.2,60.82,14.8,7.0,29.0,15.5,,70.5,75.2,4.0,9.5,25.2,31.68,34.9,8.0,2.2,12.8,15.0
LIU,0.82,10.3,18.67,1.3,0.388,12.67,33.94,48.295,21.3,23.3,71.43,16.7,-15.0,22.0,6.67,,82.7,59.3,-23.0,8.0,17.0,31.37,39.6,5.3,0.3,12.7,13.0
North Dakota,1.16,14.3,22.67,4.3,0.525,7.33,46.19,45.263,17.0,18.0,72.22,13.0,7.0,27.33,13.33,,80.3,82.0,1.0,7.0,26.7,31.25,38.8,8.3,-1.3,12.3,11.0
Oakland,0.81,8.7,17.33,1.3,0.494,6.0,41.95,45.455,20.3,17.0,68.63,11.7,-6.0,21.67,8.67,,68.3,69.0,0.0,8.7,24.3,35.62,26.2,8.7,2.7,10.7,13.33
Saint Peter's,0.8,11.0,33.0,2.3,0.457,6.33,39.31,40.299,22.7,18.0,85.19,15.3,13.0,23.0,16.67,,63.0,68.0,5.0,6.7,22.7,32.35,35.7,7.3,-0.3,13.7,13.33
South Carolina St.,0.8,13.7,28.67,3.7,0.438,4.67,40.54,43.75,17.0,24.0,58.33,14.0,10.0,26.0,17.0,,76.7,68.0,-8.0,10.7,17.7,22.64,31.4,4.0,-2.0,17.0,15.0
Bucknell,0.8,11.0,16.5,4.0,0.481,3.0,41.71,46.875,20.5,17.8,63.38,11.2,-6.0,23.25,7.75,,72.8,62.0,-10.0,7.0,22.0,30.68,34.8,6.8,-1.0,13.8,12.75
Idaho St.,0.98,14.2,19.75,4.0,0.561,9.5,50.0,37.931,16.2,15.8,60.32,9.5,7.0,29.0,9.0,,56.8,71.2,14.0,9.0,17.0,39.71,23.7,6.8,-1.5,14.5,13.0
Nicholls,0.83,12.2,10.75,4.8,0.535,13.5,45.35,44.828,21.5,20.8,72.29,15.0,-1.0,26.5,10.75,,86.2,84.0,-2.0,9.2,28.2,37.17,30.4,10.5,-1.8,14.8,13.0
Morgan St.,0.78,13.5,24.0,4.8,0.514,6.0,45.6,44.203,17.0,17.2,69.57,12.0,0.0,28.25,11.5,,80.2,76.2,-4.0,6.2,21.2,34.12,38.3,7.2,-3.8,17.2,13.5
UAlbany,0.78,12.0,18.0,3.7,0.474,13.33,40.91,48.168,20.3,25.7,68.83,17.7,2.0,24.67,11.67,,87.7,73.3,-14.0,4.3,23.7,32.39,37.9,7.7,-7.3,15.3,8.0
Jacksonville St.,0.78,10.7,27.33,3.3,0.483,12.67,42.29,42.012,16.3,23.7,81.69,19.3,3.0,27.33,11.33,,64.0,75.7,11.0,6.3,20.3,34.43,39.1,7.0,2.7,13.7,16.33
UIC,0.78,11.7,13.67,6.3,0.514,6.67,45.09,38.095,16.7,16.7,76.0,12.7,0.0,28.67,8.67,,69.0,72.0,3.0,5.7,20.3,36.07,22.4,7.3,-3.7,15.0,11.33
Dartmouth,0.78,10.3,25.0,1.7,0.4,6.33,36.47,50.0,13.7,20.3,73.77,15.0,1.0,26.0,10.33,,78.0,60.3,-17.0,5.0,22.7,17.65,34.3,4.0,-1.7,13.3,11.67
Penn St.,0.77,11.3,27.67,5.7,0.53,12.33,45.95,33.862,14.7,18.7,71.43,13.3,0.0,28.33,11.33,,54.3,78.7,24.0,9.7,27.7,31.33,18.8,8.7,4.3,14.7,19.0
Florida A&M,0.77,9.0,20.0,3.0,0.389,5.0,36.36,48.925,20.7,10.7,68.75,7.3,-22.0,18.67,10.33,,91.7,58.7,-33.0,8.0,13.3,25.0,40.0,3.3,1.3,11.7,13.0
UAB,0.7,10.0,29.5,4.8,0.457,16.0,41.63,42.623,17.8,24.0,71.88,17.2,6.0,28.0,13.5,,72.5,73.2,0.0,8.8,17.2,28.99,29.2,5.0,-0.8,14.2,13.5
Buffalo,0.77,14.3,12.33,3.7,0.506,15.0,45.03,49.444,19.0,26.7,72.5,19.3,11.0,30.67,11.67,,81.7,77.0,-4.0,6.0,20.3,31.15,35.2,6.3,-7.3,18.7,11.33
Western Ky.,0.76,9.7,33.33,3.7,0.477,13.33,44.1,42.775,20.7,22.3,76.12,17.0,2.0,26.0,13.0,,72.0,79.0,7.0,9.0,19.0,24.56,29.2,4.7,4.7,12.7,17.33
Little Rock,0.76,9.5,10.0,4.0,0.419,14.5,38.21,43.333,20.0,26.0,75.0,19.5,-13.0,21.0,12.5,,76.0,71.0,-5.0,7.0,17.5,25.71,34.1,4.5,5.5,12.5,18.0
UC Davis,0.76,12.5,20.25,5.0,0.53,10.75,47.0,44.928,19.8,24.0,70.83,17.0,5.0,21.75,12.75,,65.0,74.5,9.0,7.8,19.0,34.21,33.8,6.5,2.0,16.5,18.5
Elon,0.75,11.0,31.67,2.3,0.534,9.0,45.4,49.485,17.7,18.7,69.64,13.0,-4.0,23.67,8.0,,87.3,75.0,-12.0,5.3,21.0,44.44,32.5,9.3,-4.3,14.7,10.33
Cal St. Fullerton,0.64,10.0,16.67,2.0,0.408,13.0,36.2,40.805,19.7,23.7,64.79,15.3,3.0,29.33,10.67,,67.7,59.7,-8.0,5.7,22.0,22.73,33.8,5.0,-3.3,15.7,12.33
Long Beach St.,0.74,11.7,18.0,3.3,0.486,14.33,43.48,45.294,23.0,23.0,68.12,15.7,1.0,25.33,10.67,,79.7,75.3,-4.0,8.0,20.0,31.67,30.7,6.3,-0.3,15.7,15.33
Chicago St.,0.62,8.0,7.4,2.4,0.407,14.6,36.56,46.097,19.4,20.8,69.23,14.4,-6.0,22.4,10.8,,69.6,59.8,-9.0,8.4,19.0,24.21,26.3,4.6,1.6,12.8,14.4
Southeast Mo. St.,0.74,12.3,30.0,3.0,0.427,9.33,36.56,50.556,17.3,15.0,46.67,7.0,-8.0,22.0,11.0,,85.0,60.0,-25.0,8.3,21.3,35.94,34.5,7.7,-3.0,16.7,13.67
Vanderbilt,0.74,10.3,22.0,2.7,0.475,3.33,39.26,44.828,13.7,23.0,79.71,18.3,13.0,27.67,13.67,,68.3,70.0,1.0,5.0,28.0,32.14,34.4,9.0,-5.7,14.0,8.33
Miami (OH),0.74,12.5,18.5,3.0,0.525,8.5,45.0,45.614,21.5,19.5,61.54,12.0,-8.0,24.0,5.5,,73.5,64.5,-9.0,7.5,19.0,39.47,36.7,7.5,-2.0,17.0,15.0
Old Dominion,0.73,10.0,31.33,2.7,0.511,20.33,45.95,41.618,19.3,13.7,65.85,9.0,7.0,29.67,11.0,,72.0,72.0,0.0,6.3,16.7,38.0,33.3,6.3,-3.0,13.7,10.67
UIW,0.73,11.7,23.67,4.0,0.452,9.0,39.05,39.698,20.7,19.7,69.49,13.7,5.0,30.33,16.67,,78.7,77.0,-1.0,7.0,27.0,32.1,32.9,8.7,-4.0,16.0,12.0
